#reverse_pos	count	cdf
349	7	0.993158
350	14	0.993173
351	22	0.993196
352	16	0.993212
353	26	0.993239
354	15	0.993255
355	17	0.993273
356	11	0.993284
357	13	0.993298
358	14	0.993312
359	22	0.993335
360	27	0.993363
361	13	0.993377
362	23	0.993401
363	10	0.993411
364	13	0.993425
365	13	0.993438
366	17	0.993456
367	15	0.993472
368	12	0.993484
369	20	0.993505
370	22	0.993528
371	21	0.99355
372	18	0.993568
373	9	0.993578
374	12	0.99359
375	14	0.993605
376	18	0.993624
377	14	0.993638
378	8	0.993647
379	13	0.99366
380	13	0.993674
381	12	0.993686
382	15	0.993702
383	19	0.993722
384	20	0.993742
385	21	0.993764
386	12	0.993777
387	14	0.993791
388	19	0.993811
389	10	0.993822
390	11	0.993833
391	14	0.993848
392	18	0.993866
393	16	0.993883
394	15	0.993899
395	9	0.993908
396	20	0.993929
397	18	0.993948
398	12	0.99396
399	8	0.993969
400	13	0.993982
401	17	0.994
402	13	0.994013
403	12	0.994026
404	14	0.99404
405	12	0.994053
406	9	0.994062
407	11	0.994074
408	6	0.99408
409	16	0.994097
410	15	0.994112
411	16	0.994129
412	12	0.994142
413	7	0.994149
414	9	0.994158
415	13	0.994172
416	9	0.994181
417	12	0.994194
418	13	0.994207
419	14	0.994222
420	7	0.994229
421	7	0.994236
422	13	0.99425
423	20	0.994271
424	14	0.994285
425	15	0.994301
426	19	0.994321
427	15	0.994336
428	17	0.994354
429	14	0.994369
430	15	0.994384
431	14	0.994399
432	14	0.994413
433	10	0.994424
434	10	0.994434
435	12	0.994447
436	17	0.994465
437	14	0.994479
438	13	0.994493
439	18	0.994511
440	14	0.994526
441	13	0.99454
442	9	0.994549
443	9	0.994558
444	12	0.994571
445	14	0.994585
446	12	0.994598
447	20	0.994619
448	14	0.994633
449	19	0.994653
450	13	0.994667
451	13	0.99468
452	21	0.994702
453	12	0.994715
454	16	0.994731
455	13	0.994745
456	13	0.994758
457	10	0.994769
458	17	0.994786
459	10	0.994797
460	15	0.994812
461	14	0.994827
462	13	0.994841
463	10	0.994851
464	11	0.994863
465	13	0.994876
466	17	0.994894
467	9	0.994903
468	13	0.994917
469	12	0.994929
470	9	0.994939
471	15	0.994954
472	9	0.994964
473	11	0.994975
474	12	0.994988
475	12	0.995
476	15	0.995016
477	9	0.995025
478	17	0.995043
479	13	0.995056
480	14	0.995071
481	12	0.995083
482	15	0.995099
483	14	0.995114
484	7	0.995121
485	12	0.995133
486	12	0.995146
487	8	0.995154
488	12	0.995167
489	8	0.995175
490	11	0.995187
491	9	0.995196
492	4	0.9952
493	9	0.995209
494	6	0.995216
495	14	0.99523
496	10	0.995241
497	16	0.995257
498	10	0.995268
499	10	0.995278
500	11	0.99529
501	13	0.995303
502	12	0.995316
503	4	0.99532
504	10	0.99533
505	23	0.995354
506	3	0.995357
507	11	0.995369
508	10	0.995379
509	10	0.99539
510	4	0.995394
511	8	0.995402
512	8	0.995411
513	12	0.995423
514	5	0.995428
515	18	0.995447
516	10	0.995457
517	12	0.99547
518	10	0.99548
519	7	0.995488
520	10	0.995498
521	7	0.995505
522	10	0.995516
523	10	0.995526
524	4	0.99553
525	8	0.995539
526	12	0.995551
527	3	0.995554
528	8	0.995563
529	8	0.995571
530	14	0.995586
531	16	0.995602
532	11	0.995614
533	12	0.995626
534	11	0.995638
535	8	0.995646
536	4	0.99565
537	6	0.995656
538	12	0.995669
539	9	0.995678
